file,forced_detection_method,resolved_detection_method,detection_success,usable_scan,quality_status,rejection_reason,binarization_method,benchmark_binarization_mode,overall_score,detection_confidence,sharpness,skew_angle,binarization_score
G6miiqkWkAAn-bE.jpeg,corners,corners,1,0,rejected,skew>12deg,otsu_deshadow,otsu_deshadow,60.9,0.643,6477.61,15.07,56.57
IM102426.jpg,contour,fallback,0,0,rejected,"score<60, conf<0.35, binary<45",otsu_deshadow,otsu_deshadow,50.8,0.1,504.52,-0.98,37.86
IM102426.jpg,threshold,fallback,0,0,rejected,"score<60, conf<0.35, binary<45",otsu_deshadow,otsu_deshadow,50.8,0.1,504.52,-0.98,37.86
IM102426.jpg,hough,fallback,0,0,rejected,"score<60, conf<0.35, binary<45",otsu_deshadow,otsu_deshadow,50.8,0.1,504.52,-0.98,37.86
IM102426.jpg,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,70.4,0.875,927.38,2.97,58.38
thehousedividedcontentpg2.jpg,contour,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,65.8,0.1,1287.88,0.0,67.24
thehousedividedcontentpg2.jpg,threshold,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,65.8,0.1,1287.88,0.0,67.24
thehousedividedcontentpg2.jpg,hough,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,65.8,0.1,1287.88,0.0,67.24
thehousedividedcontentpg2.jpg,corners,corners,1,0,rejected,skew>12deg,otsu_deshadow,otsu_deshadow,61.8,0.805,2264.34,18.0,62.11
we-all-want-impossible-things-catherine-newman.png,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,42.3,0.1,172.68,0.0,55.59
we-all-want-impossible-things-catherine-newman.png,threshold,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,42.3,0.1,172.68,0.0,55.59
we-all-want-impossible-things-catherine-newman.png,hough,hough,1,0,rejected,score<60,otsu_deshadow,otsu_deshadow,57.9,0.97,275.83,0.0,59.53
we-all-want-impossible-things-catherine-newman.png,corners,corners,1,0,rejected,score<60,otsu_deshadow,otsu_deshadow,46.9,0.834,440.34,-9.02,59.92
